origin,profile,basis,global_delta,block_delta,row_delta,delta,spectral_delta_audit,output_bound_kwh,polynomial_output_error_kwh,degree,conclusive,fallback_count_batch,initial_relative_residual
17,1,identity,50.38398941189875,18.137201863343222,20.215996543828673,18.137201863343222,,inf,126.3345560430812,12,False,0,0.9538452424130938
17,2,identity,16.309141631316763,7.487176657824977,7.796766712052604,7.487176657824977,,inf,89.66673173834363,12,False,0,0.48219525397502433
17,3,identity,15.790085238537037,7.2915283911087565,7.592201992336037,7.2915283911087565,,inf,78.38686935927007,12,False,0,0.4392316850953726
17,4,identity,14.502800988146184,6.789207937639612,7.065326569654317,6.789207937639612,,inf,59.33154334852082,12,False,0,0.39054349916712733
17,5,identity,13.224009674620183,6.273638484303494,6.522661885773265,6.273638484303494,,inf,62.095867464779644,12,False,0,0.3611395283763478
17,6,identity,15.6319924714346,7.231400778019294,7.5282504952179226,7.231400778019294,,inf,83.39934393189455,12,False,0,0.4660889082202481
17,7,identity,19.17748936203402,8.544532466628512,8.897533535446309,8.544532466628512,,inf,104.70505045161117,12,False,0,0.5113960122826551
17,8,identity,19.725508314612174,8.740452818764652,9.101046043961315,8.740452818764652,,inf,108.50413578742969,12,False,0,0.5169008410968531
17,9,identity,17.38751943422401,7.894809522929678,8.222745216042375,7.894809522929678,,inf,85.41175985325393,12,False,0,0.4932961592313792
17,10,identity,18.76476705493626,8.396800496026215,8.743626377130472,8.396800496026215,,inf,115.87950965724072,12,False,0,0.47772525104392566
17,11,identity,17.397211903889765,7.896235569399219,8.22231176589327,7.896235569399219,,inf,81.96063934099891,12,False,0,0.4967185424480349
17,12,identity,19.38744379612242,8.621067651801935,8.977807933488126,8.621067651801935,,inf,117.5924741452881,12,False,0,0.5376243476704559
17,13,identity,15.836679415780011,7.308831714813119,7.610627814481505,7.308831714813119,,inf,68.0263402954471,12,False,0,0.4337308016753404
17,14,identity,15.022045119704988,6.991261878481085,7.2766876211777465,6.991261878481085,,inf,78.24111772687453,12,False,0,0.390589271492897
17,15,identity,13.597500708368608,6.428747474796726,6.687239640112461,6.428747474796726,,inf,59.56525563832868,12,False,0,0.3728382593744543
17,0,reference_eigen,0.7738826639922245,0.3390096023528225,0.4455062319768236,0.3390096023528225,,0.0022900787183027815,1.762045365600634e-13,12,True,0,0.019496091023159842
17,1,reference_eigen,818.4026815203805,41.13260968011208,56.39804457149382,41.13260968011208,,inf,127.13900477431866,12,False,0,0.7164786932914929
17,2,reference_eigen,6.3643800858685875,2.619978723927984,3.68536353392344,2.619978723927984,,inf,14.613571615350223,12,False,0,0.17565795643832308
17,3,reference_eigen,5.049902016668798,1.666887548068382,1.9738176438488555,1.666887548068382,,inf,21.16090810801783,12,False,0,0.11423106194649674
17,4,reference_eigen,3.9241896076341103,1.3831156591575628,1.5786872817567874,1.3831156591575628,,inf,15.305116828495667,12,False,0,0.07511645503809648
17,5,reference_eigen,2.7662774062287583,0.9579753080713521,1.1069902083531866,0.9579753080713521,,25326.255799037794,3.6729710337385855e-10,12,False,0,0.05146358702758752
17,6,reference_eigen,5.929336411924703,2.147506491744634,2.7525325593858883,2.147506491744634,,inf,29.477043900423784,12,False,0,0.17691530868254124
17,7,reference_eigen,8.954240657765594,2.7641904262069588,3.429079027663392,2.7641904262069588,,inf,42.63778192005805,12,False,0,0.19955783433393043
17,8,reference_eigen,9.521142913482084,2.7729476400896083,3.444352159746523,2.7729476400896083,,inf,43.92408822864137,12,False,0,0.19308474491605426
17,9,reference_eigen,6.972662101977596,2.345505391023791,2.902732750655537,2.345505391023791,,inf,28.164666853798327,12,False,0,0.16427197208295738
17,10,reference_eigen,8.52309242169661,2.6936893057783284,3.2657246255240193,2.6936893057783284,,inf,40.509826495061034,12,False,0,0.14973485002656936
17,11,reference_eigen,7.019170513272236,2.6385247930149087,3.6334801217338244,2.6385247930149087,,inf,22.243418200024585,12,False,0,0.17123649128197396
17,12,reference_eigen,9.640323783894576,3.151650456379246,3.990932415857829,3.151650456379246,,inf,42.354510047354616,12,False,0,0.21273364714812565
17,13,reference_eigen,5.320460268256273,1.9038768380944733,2.39982248859908,1.9038768380944733,,inf,9.249297956664584,12,False,0,0.11266229228258696
17,14,reference_eigen,4.243910778653556,1.4163944227838852,1.6499092728200138,1.4163944227838852,,inf,16.551572405984807,12,False,0,0.07438815550477056
17,15,reference_eigen,3.5273604851532454,1.2862314037980456,1.536924993488026,1.2862314037980456,,inf,12.035324958711353,12,False,0,0.06266292060093996
17,0,rjd,5.686373309716251,3.1969350230018803,3.7970445660989585,3.1969350230018803,,inf,19.764527214688734,12,False,0,0.31373574238058166
17,1,rjd,239.8915091451803,40.60826944730269,49.984436074723384,40.60826944730269,,inf,122.54660363219305,12,False,0,0.42580446374546993
17,2,rjd,5.501492316312769,2.685693531946638,3.357431498609619,2.685693531946638,,inf,17.45642024726072,12,False,0,0.21998105847329746
17,3,rjd,5.576058648131904,2.8275868393130548,3.4300918396337727,2.8275868393130548,,inf,13.587808189293728,12,False,0,0.30302030955603687
17,4,rjd,5.763034101272368,3.043727524856582,3.6479039538160105,3.043727524856582,,inf,10.69776667891972,12,False,0,0.33016591058679556
17,5,rjd,6.039540058411082,3.25473186443936,3.8519154909823543,3.25473186443936,,inf,20.49763156477838,12,False,0,0.38033746869870516
17,6,rjd,6.08429211360952,2.8790285813392784,3.515356653750856,2.8790285813392784,,inf,12.598214970349229,12,False,0,0.2786994753696341
17,7,rjd,6.235588356535682,2.895467366885751,3.5305346022335504,2.895467366885751,,inf,2.1025452123907016,12,False,0,0.29842499643969905
17,8,rjd,6.22499765872431,2.9383903110087166,3.4987432968923846,2.9383903110087166,,inf,2.0590409649455594,12,False,0,0.330438590240017
17,9,rjd,5.332540773330749,2.6299727699623507,3.196197119065024,2.6299727699623507,,inf,14.624813761389454,12,False,0,0.28982371134386675
17,10,rjd,6.43838840309163,3.142550924432123,3.754223024305612,3.142550924432123,,inf,19.117672261064403,12,False,0,0.3879499323507252
17,11,rjd,5.49374593446809,2.733056684427326,3.439440054854416,2.733056684427326,,inf,19.60950526008175,12,False,0,0.2605943908007991
17,12,rjd,5.603458749482436,2.5883565107392963,3.1456185675257164,2.5883565107392963,,inf,18.95404754348551,12,False,0,0.25382383625904853
17,13,rjd,5.462461220925722,2.7718898702818615,3.356696388892265,2.7718898702818615,,inf,18.59002668497498,12,False,0,0.2721631230554472
17,14,rjd,6.356673838261562,3.2400019251478325,3.817467359073883,3.2400019251478325,,inf,8.880996947731104,12,False,0,0.4027620895970799
17,15,rjd,5.521615923425619,2.946242111492306,3.517308448381907,2.946242111492306,,inf,10.762715157527001,12,False,0,0.31726289252673573
18,0,identity,10.170760314781816,4.979556265879237,5.193678905224288,4.979556265879237,,inf,15.419716093159774,12,False,0,0.3127317963254701
18,1,identity,50.38398941189875,18.137201863343222,20.215996543828673,18.137201863343222,,inf,186.4074825931006,12,False,0,0.953002270384066
18,2,identity,16.299566314810825,7.497560206013247,7.83942783956792,7.497560206013247,,inf,40.41514745737688,12,False,0,0.4927952346827753
18,3,identity,15.785402155874962,7.299014711289073,7.619746965270532,7.299014711289073,,inf,34.587665445743795,12,False,0,0.4496127059898224
18,4,identity,14.499112002785022,6.799363907655485,7.112064845011965,6.799363907655485,,inf,29.80395805199831,12,False,0,0.40091658453861706
18,5,identity,13.218008326640193,6.278743676159112,6.546543089281618,6.278743676159112,,inf,25.61449531760819,12,False,0,0.37206362521138236
18,6,identity,15.623265395231739,7.240665854695984,7.571860238828794,7.240665854695984,,inf,37.20555483383786,12,False,0,0.4761661853523581
18,7,identity,19.17106492178463,8.556591092672358,8.936656442577306,8.556591092672358,,inf,45.76393278466347,12,False,0,0.5238641362912829
18,8,identity,19.720464133757407,8.746227855184095,9.10104751903144,8.746227855184095,,inf,44.57079314944466,12,False,0,0.52791026951116
18,9,identity,17.38242911692086,7.902512352676719,8.248327514913697,7.902512352676719,,inf,38.29524421734878,12,False,0,0.5028329169043578
18,10,identity,18.765710180799317,8.400547892012549,8.744028929771744,8.400547892012549,,inf,45.401946794415686,12,False,0,0.48418691596661384
18,11,identity,17.394162250338475,7.902540302743735,8.23818023387436,7.902540302743735,,inf,41.928732465768206,12,False,0,0.5036252212959028
18,12,identity,19.374794217971488,8.623446039961005,8.974861795819887,8.623446039961005,,inf,51.95779219417224,12,False,0,0.5461889531141328
18,13,identity,15.833214768375818,7.315244423872078,7.627769120291271,7.315244423872078,,inf,33.757150884273145,12,False,0,0.448500070071859
18,14,identity,15.019447300400262,6.998359162707548,7.300303968236787,6.998359162707548,,inf,28.81037620678576,12,False,0,0.3999559188497803
18,15,identity,13.594243181326682,6.437194833827125,6.725904351995558,6.437194833827125,,inf,22.10125681274564,12,False,0,0.3870974054372446
18,0,reference_eigen,0.7762703109406327,0.3422651776980721,0.4480764478117335,0.3422651776980721,,0.002666124157603727,1.1023347223524666e-13,12,True,0,0.02245176713295901
18,1,reference_eigen,818.4026815203805,41.13260968011208,56.39804457149382,41.13260968011208,,inf,188.42907542669883,12,False,0,0.5078004912446924
18,2,reference_eigen,6.371876511085928,2.623694686211082,3.6885215275466026,2.623694686211082,,inf,9.431379065146288,12,False,0,0.16226123664310962
18,3,reference_eigen,5.056666991746413,1.668487029065228,1.9743772679259282,1.668487029065228,,inf,11.343965726863077,12,False,0,0.10273123232478588
18,4,reference_eigen,3.934270781837351,1.385481305285674,1.58207722722166,1.385481305285674,,inf,7.069907130586324,12,False,0,0.07133763895437252
18,5,reference_eigen,2.77169002416232,0.9598507956508819,1.1086201698390985,0.9598507956508819,,27165.600999479186,3.0865759434848906e-10,12,False,0,0.05521339942718646
18,6,reference_eigen,5.937920688962999,2.1496424373028358,2.7541370729537062,2.1496424373028358,,inf,11.098502336060223,12,False,0,0.15961107539668037
18,7,reference_eigen,8.978227255956169,2.7685951932079367,3.432563424647987,2.7685951932079367,,inf,23.14044334685981,12,False,0,0.18371680389478062
18,8,reference_eigen,9.542883415816917,2.775293787030778,3.4483919752406744,2.775293787030778,,inf,21.898857661058194,12,False,0,0.17224618670889102
18,9,reference_eigen,6.977325852162277,2.346358234666104,2.9026470569066234,2.346358234666104,,inf,15.031441886802227,12,False,0,0.15052766689986852
18,10,reference_eigen,8.535121067025637,2.6955657034547587,3.2684920804183535,2.6955657034547587,,inf,24.648383254086255,12,False,0,0.14855453417979678
18,11,reference_eigen,7.02781537288154,2.640100712756417,3.635032152104178,2.640100712756417,,inf,15.993312765107271,12,False,0,0.14935964346753608
18,12,reference_eigen,9.641543503980442,3.1531072184724738,3.9917034217682135,3.1531072184724738,,inf,26.64377228475713,12,False,0,0.19023364001411733
18,13,reference_eigen,5.327560409621274,1.90566322736712,2.4005651995403143,1.90566322736712,,inf,3.4055625013220077,12,False,0,0.0997569105675455
18,14,reference_eigen,4.252046731591942,1.4178575190743357,1.6515581934523622,1.4178575190743357,,inf,8.303364496687962,12,False,0,0.07859212154339643
18,15,reference_eigen,3.5308500550655344,1.2882206371969103,1.5366908612950936,1.2882206371969103,,inf,5.354344370604908,12,False,0,0.06194951745076752
18,0,rjd,5.68935589877933,3.198206000745704,3.7977294642326442,3.198206000745704,,inf,19.54953675247318,12,False,0,0.3418543080863348
18,1,rjd,239.8915091451803,40.60826944730269,49.984436074723384,40.60826944730269,,inf,179.41879689506584,12,False,0,0.33088796890202254
18,2,rjd,5.495833039817091,2.6840264956176334,3.358634973395278,2.6840264956176334,,inf,21.13524246259483,12,False,0,0.25989478763034857
18,3,rjd,5.57340582761707,2.8272618433497945,3.4318559244480595,2.8272618433497945,,inf,20.20264091986602,12,False,0,0.3311366618670878
18,4,rjd,5.760675405348653,3.044289634757372,3.6516208767957137,3.044289634757372,,inf,16.462717546742933,12,False,0,0.3524929373029197
18,5,rjd,6.045365912833126,3.256166957466315,3.854601554188571,3.256166957466315,,inf,19.876832970046422,12,False,0,0.402782195344728
18,6,rjd,6.077669738924936,2.877641651701923,3.517435345917878,2.877641651701923,,inf,26.316303550502994,12,False,0,0.30167536289165353
18,7,rjd,6.229575854341854,2.8934940015073765,3.5314515631815944,2.8934940015073765,,inf,20.56511066074144,12,False,0,0.32180513948638323
18,8,rjd,6.2232848556056615,2.9385750467001484,3.5006728978485344,2.9385750467001484,,inf,22.426083823277338,12,False,0,0.3451824550155202
18,9,rjd,5.332289172436142,2.6307039546197792,3.1996937608909137,2.6307039546197792,,inf,22.333170802272186,12,False,0,0.3144496724737983
18,10,rjd,6.437148865160246,3.1424430903979466,3.755315288095797,3.1424430903979466,,inf,23.821945297274482,12,False,0,0.4065685636824215
18,11,rjd,5.492023308222461,2.7333065375126346,3.442715379517803,2.7333065375126346,,inf,14.418463422439011,12,False,0,0.2912739048758013
18,12,rjd,5.596398613431634,2.5858157965103974,3.1448216667233937,2.5858157965103974,,inf,22.62099584369348,12,False,0,0.28555507087656745
18,13,rjd,5.462974277757991,2.771757355693327,3.358329041731527,2.771757355693327,,inf,20.90170253794357,12,False,0,0.28608457726323416
18,14,rjd,6.360848844252993,3.241179621134079,3.8196494158012273,3.241179621134079,,inf,22.154448457228707,12,False,0,0.42182258784532917
18,15,rjd,5.521405191980983,2.946123286755355,3.5197003136172045,2.946123286755355,,inf,20.862448049804904,12,False,0,0.336043088739824
19,0,identity,28.465393436896846,9.843640574232886,12.827905991310534,9.843640574232886,,inf,18.714796786448616,12,False,0,0.3266370483614227
19,1,identity,50.38398941189875,18.137201863343222,20.215996543828673,18.137201863343222,,inf,114.55061387482411,12,False,0,0.9737088582019053
19,2,identity,26.679973408095282,10.605003957820134,13.549519159694803,10.605003957820134,,inf,0.9015798008448543,12,False,0,0.486752457814814
19,3,identity,26.664747669918054,10.50041163479041,13.461060716751183,10.50041163479041,,inf,0.5294146070178423,12,False,0,0.46107156074867406
19,4,identity,26.888444444357745,10.296250375655404,13.295381739658016,10.296250375655404,,inf,2.240768082797495,12,False,0,0.4123690101247869
19,5,identity,27.23333788810724,10.120611420031333,13.141833782001546,10.120611420031333,,inf,11.168769020788726,12,False,0,0.39125446638367084
19,6,identity,26.696462486082247,10.475741075652817,13.442246694503432,10.475741075652817,,inf,0.5529387278310356,12,False,0,0.4764172726508221
