week,building,site,method,is90_sum,is90_count,coverage90_sum,coverage90_count,loss_sum,loss_count
2016-10-17/2016-10-23,Peacock_assembly_Dena,Peacock,shrinkage,18.067591180356363,32,27.0,32,4.1960688120588765,32
2016-10-17/2016-10-23,Peacock_assembly_Dena,Peacock,sketch_2048,19.0048579321874,32,27.333333333333332,32,4.266666764621147,32
2016-10-17/2016-10-23,Rat_assembly_Adolfo,Rat,ci,33.112749615386754,32,29.0,32,8.444826671242183,32
2016-10-17/2016-10-23,Rat_assembly_Adolfo,Rat,common_corrected,30.260979936713767,32,29.333333333333332,32,8.440522502930666,32
2016-10-17/2016-10-23,Rat_assembly_Adolfo,Rat,exact_lineage,30.183209669853728,32,29.666666666666668,32,8.485475049584371,32
2016-10-17/2016-10-23,Rat_assembly_Adolfo,Rat,seasonal_naive,23.915537796196567,32,31.0,32,12.969933633707807,32
2016-10-17/2016-10-23,Rat_assembly_Adolfo,Rat,shrinkage,28.47558994831009,32,29.333333333333332,32,8.645422374025403,32
2016-10-17/2016-10-23,Rat_assembly_Adolfo,Rat,sketch_2048,31.732317328492638,32,29.333333333333332,32,8.776303982766619,32
2016-10-17/2016-10-23,Robin_assembly_Colleen,Robin,ci,38.01871298469524,32,23.333333333333332,32,9.285860388987594,32
2016-10-17/2016-10-23,Robin_assembly_Colleen,Robin,common_corrected,32.56965420825947,32,24.666666666666668,32,8.49557144553896,32
2016-10-17/2016-10-23,Robin_assembly_Colleen,Robin,exact_lineage,31.963823852873603,32,25.0,32,8.334508167403271,32
2016-10-17/2016-10-23,Robin_assembly_Colleen,Robin,seasonal_naive,25.742578112288438,32,30.0,32,7.956705267573135,32
2016-10-17/2016-10-23,Robin_assembly_Colleen,Robin,shrinkage,30.694703122763507,32,25.666666666666668,32,8.030469262200027,32
2016-10-17/2016-10-23,Robin_assembly_Colleen,Robin,sketch_2048,31.55115308377971,32,26.0,32,8.310397905005873,32
2016-10-17/2016-10-23,Shrew_office_Doris,Shrew,ci,16.312912515538923,32,31.0,32,4.766109231143828,32
2016-10-17/2016-10-23,Shrew_office_Doris,Shrew,common_corrected,16.039004660125048,32,29.333333333333332,32,4.945351598363974,32
2016-10-17/2016-10-23,Shrew_office_Doris,Shrew,exact_lineage,16.218663321836978,32,29.333333333333332,32,5.031291998157317,32
2016-10-17/2016-10-23,Shrew_office_Doris,Shrew,seasonal_naive,11.327950972340341,32,32.0,32,2.9656298159756287,32
2016-10-17/2016-10-23,Shrew_office_Doris,Shrew,shrinkage,15.794893228211386,32,29.0,32,4.7296814892060315,32
2016-10-17/2016-10-23,Shrew_office_Doris,Shrew,sketch_2048,16.394312060936976,32,30.333333333333332,32,5.000526255077838,32
2016-10-24/2016-10-30,Bear_assembly_Beatrice,Bear,ci,89.68264107519454,74,60.666666666666664,74,30.482738061828925,74
2016-10-24/2016-10-30,Bear_assembly_Beatrice,Bear,common_corrected,78.81123055441078,74,64.66666666666667,74,26.84705789803368,74
2016-10-24/2016-10-30,Bear_assembly_Beatrice,Bear,exact_lineage,78.41331741537286,74,64.33333333333333,74,27.135417791244524,74
2016-10-24/2016-10-30,Bear_assembly_Beatrice,Bear,seasonal_naive,148.75958146545727,74,53.0,74,31.04756797456188,74
2016-10-24/2016-10-30,Bear_assembly_Beatrice,Bear,shrinkage,92.19537569492962,74,59.0,74,27.65782600391574,74
2016-10-24/2016-10-30,Bear_assembly_Beatrice,Bear,sketch_2048,81.01357132777791,74,63.333333333333336,74,27.39840222752719,74
2016-10-24/2016-10-30,Bobcat_assembly_Adam,Bobcat,ci,72.21912494646583,74,61.0,74,22.874338099411027,74
2016-10-24/2016-10-30,Bobcat_assembly_Adam,Bobcat,common_corrected,70.6976812304612,74,63.333333333333336,74,21.069320731351688,74
2016-10-24/2016-10-30,Bobcat_assembly_Adam,Bobcat,exact_lineage,67.63836558266883,74,63.333333333333336,74,21.26504437191996,74
2016-10-24/2016-10-30,Bobcat_assembly_Adam,Bobcat,seasonal_naive,43.05491283714548,74,70.0,74,14.100130101251596,74
2016-10-24/2016-10-30,Bobcat_assembly_Adam,Bobcat,shrinkage,70.95278549542586,74,63.666666666666664,74,20.869580635865134,74
2016-10-24/2016-10-30,Bobcat_assembly_Adam,Bobcat,sketch_2048,66.32011899891202,74,63.0,74,21.5432524759544,74
2016-10-24/2016-10-30,Bull_assembly_Amalia,Bull,ci,136.26254151687976,73,72.0,73,23.28199283680723,73
2016-10-24/2016-10-30,Bull_assembly_Amalia,Bull,common_corrected,138.61257636765217,73,72.0,73,23.03506228321573,73
2016-10-24/2016-10-30,Bull_assembly_Amalia,Bull,exact_lineage,137.02634087924065,73,72.0,73,22.909679561351233,73
2016-10-24/2016-10-30,Bull_assembly_Amalia,Bull,seasonal_naive,132.48595941571293,73,69.0,73,31.59343779149981,73
2016-10-24/2016-10-30,Bull_assembly_Amalia,Bull,shrinkage,134.39420326190003,73,71.66666666666667,73,23.104245234902432,73
2016-10-24/2016-10-30,Bull_assembly_Amalia,Bull,sketch_2048,136.77448403607727,73,72.0,73,23.01616372849672,73
2016-10-24/2016-10-30,Crow_education_Kate,Crow,ci,33.782673048435974,74,74.0,74,7.330409135952251,74
2016-10-24/2016-10-30,Crow_education_Kate,Crow,common_corrected,33.9186186166467,74,74.0,74,7.151337556164247,74
2016-10-24/2016-10-30,Crow_education_Kate,Crow,exact_lineage,33.95706488245006,74,74.0,74,7.120275659453147,74
2016-10-24/2016-10-30,Crow_education_Kate,Crow,seasonal_naive,41.64388648949045,74,73.0,74,10.606975194119421,74
2016-10-24/2016-10-30,Crow_education_Kate,Crow,shrinkage,36.88687944353791,74,74.0,74,7.4938693511693115,74
2016-10-24/2016-10-30,Crow_education_Kate,Crow,sketch_2048,34.51641055761057,74,74.0,74,7.0896145790404645,74
2016-10-24/2016-10-30,Eagle_assembly_Benny,Eagle,ci,81.62213402984044,74,69.0,74,29.583721747359483,74
2016-10-24/2016-10-30,Eagle_assembly_Benny,Eagle,common_corrected,77.84642884342811,74,67.66666666666667,74,29.513144026365605,74
